,Unnamed: 0,Grc,Arm,O,Lemma,Gram,Eng
32,1.2,ἐκ Θισβης ,՛ի Թեզբուէ [Tezbuē],თეზბეთ [tezbe-t],თეზბე,PN.Adv.Sg,Thisbe
33,1.2,ἥ ,որ ,რომელ,რომელ,PRON.Abs.Sg,which
34,1.2,ἐστιν ,է ,არს,არ-ს,be.Pres.S3.Sg,is
35,1.2,ἐκ δεξιῶν,ընդ աջմէ ,მარჯუენ-ით,მარჯუენ,N.Inst,right
36,1.2,Κυδιὼς,կողմանցն [side],"კერძოსა, ",კერძო,N.Dat.Sg,side
37,,,,რომელ,რომელ,PRON.Abs.Sg,which 
38,,,,არს,არ-ს,be.Pres.S3.Sg,is
39,1.2,τῆς Νεφθαλεὶμ,Նեփթաղիմայ ,ნეფთალემისი ,ნეფთალემ,PN.Gen.Sg,Nephtalem
40,,,,[neptalem-isi] ,,,
41,,,[Neptałim-ay],,,,
42,1.2,ἐν τῇ Γαλιλαίᾳ ,՛ի Գալիլեայ [Galilea-y],გალილიას [galilia-s],გალილია,PN.Dat.Sg,Galilea
43,1.2, ὑπερ-άνω ,՛ի վերայ ,ზემო-კერძო ,ზემო-კერძო,ADV,higher up
44,1.2,Ἀσήρ,Ասէի [Asē-i] ,ასერსა [aser-sa],ასერ,PN.Dat.Sg,Asser
45,,,,,,,
46,,GI,Arm,OGeo,Lemma,Gram,Eng
47,1.3,Ἐγὼ,Ե՛ս ,მე ,მე,PRON.Nom.Sg,I
48,1.3,Τωβὶτ,Տուբիթ [T'ubit],ტობი [t'obi],ტობი,PN.Nom.Sg,Tobit
49,1.3,ὁδοῖς ,զճանապարհս ,გზათა ,გზა,N.Dat.Pl,road
50,1.3,ἀληθείας ,ճշմարտութեան ,ჭეშმარიტებისათა ,ჭეშმარიტ,N.Dat.Pl,justice
51,1.3,ἐπορευόμην ,գնացի ,ვიდოდე ,ვიდ,V.Aor.S1.Sg,go
52,1.3,καὶ ,եւ ,და ,და,CONJ,and
53,1.3,δικαιοσύνης,յարդարութեան ,სიმართლისათა ,სიმართლე,N.Dat.Pl,truth
54,1.3,πάσας,զամենայն ,ყოველთა ,ყოველ,PRON.Dat.Pl,each
55,1.3,τὰς ἡμέρας,յաւուրս ,დღეთა ,დღე,N.Dat.Pl,day
56,1.3,τῆς ζωῆς,կենաց ,ცხორებისა ,ცხორება,N.Gen.Sg,life
57,1.3,μου ,իմոց ,ჩემისათა ,ჩემ,PRON.Gen.Pl,my
58,1.3,ἐλεημοσύνας ,ողորմութիւնս ,მოწყალებანი ,მოწყალება,N.Nom.Pl,mercy
59,,,,+და ,და,CONJ,and
60,,,,ქველისსაქმენი ,ქველისსაქმე,N.Nom.Pl,charity work
61,1.3,πολλὰς ,բազումս ,მრავალნი ,მრავალ,PRON.Nom.Pl,many
62,1.3,ἐποίησα ,արարի +ես [I],ვყვენ,ყავ,V.AOR.S1.Sg,make
63,1.3,τοῖς ἀδελφοῖς ,եղբարց ,ძმათა ,ძმა,N.Gen.Pl,brother
64,,,,მიმართ,მიმართ,PREP,towards
65,1.3,μου ,իմոց` ,ჩემთა ,ჩემ,PRON.Gen.Pl,my
66,1.3,καὶ ,եւ ,და ,და,CONJ,and
67,1.3,τῷ ἔθνει ,ազգին ,ნათესავთა ,ნათესავ,N.Gen.Pl,relative
68,1.3,μου,իմում ,ჩემთა,ჩემ,PRON.Gen.Pl,my
69,,τοῖς,որ ,რომელნი,რომელ,PRON.Nom.Pl,which
70,1.3,συμ-πορευθεῖσιν ,ընդ ,თანა-მი-ვიდოდეს,თავა-ვიდ,PV-V.AOR.1S.Sg,go with
71,1.3,μετ᾽ ἐμοῦ ,իսն ,მე  ,მე,PRON.Dat.Sg,I
72,,,,+მი-რა-ვიდოდით  ,ვიდ,PV-CONJ-V.AOR.S1.Pl,when-go
73,,,,,,,
74,,,,ჩუენ,ჩუენ,PRON.Nom.Pl,we
75,1.3,εἰς χώραν ,էինյերկրին ,სოფლად ,სოფელ,N.Adv.Sg,village
76,1.3,Ἀσσυρίων ,Ասորեստանեայց ,ასურასტანელთა [asur-ast'anelta] ,ასურასტან,PN.Gen.Pl,Assyria
77,,,,,,,
78,,,[Asorest'an-eayc],,,,
79,1.3,εἰς Νινευή,՛ի Նինուէ ,ნინევედ [nineve-d],ნინევე,PN.ADV.Sg,Ninive
80,,,,,,,
81,,,[Ninuē],,,,
82,,,,,,,
83,,GI,Arm,OGeo,Lemma,Gram,Eng
84,1.4,καὶ ,Եւ  ,და ,და,CONJ,and
85,1.4,ὅτε ,յորժամ  ,ოდეს,ოდეს,CONJ,when
86,1.4,ἤμην ,էի +ես  [I],ვიყავ ,ყავ,V.AOR.1S.Sg,be
87,1.4,ἐν τῇ χώρᾳ ,՛ի գաւառին  ,სოფელსა,სოფელ,N.Dat.Sg,village
88,1.4,μου ,իմում ,ჩემსა ,ჩემ,PRON.Dat.Sg,my
89,1.4,ἐν τῇ γῇ ,յերկիրն  ,ქუეყანასა ,ქუეყანა,N.Dat.Sg,country
90,1.4,Ἰσραήλ,Իսրայէլի [Israyēl-i],ისრაელისასა [israel-isasa],ისრაელ,PN.Gen.,Israel
91,1.4,νεωτέρου ,"մանուկն + էի, [(I) was]",სიჭაბუკესა,სიჭაბუკე,N.Dat.Sg,youth
92,1.4,μου,×,ჩემსა,ჩემ,PRON.Dat.Sg,my
93,1.4,πᾶσα,ամենայն  ,ყოველი ,ყოველ,PRON.Nom.Sg,each
94,1.4,φυλὴ ,ազգն  ,ტომი ,ტომ,N.Nom.Sg,tribe
95,1.4,τοῦ Νεφθαλεὶμ,Նեփթաղիմայ  ,ნეფთალემისი [neptalem-isi],ნეფთალემ,PN.Gen.Sg,Nephtalem
96,,,,,,,
97,,,[Neptałim-ay],,,,
98,1.4,τοῦ πατρός ,հօրն  ,მამისა ,მამა,N.Gen.Sg,father
99,1.4,μου ,իմոյ ,ჩემისა,ჩემ,PRON.Gen.Sg,my
100,1.4,ἀπ-έστη ,մերժեցա՛ն  +՛ի բա՛ց եղեն [they went],გან-დგა ,გან-დეგ,PV-V.AOR.S3.Sg,deny
101,1.4,ἀπὸ τοῦ οἴκου , ՛ի տաճարէն ,სახლისა-გან ,სახლ,N.Gen.Sg-of,house
102,1.4,Δαυὶδ,×,დავითისა [davit-isa],დავით,PN-Gen.Sg,David
103,1.4,ἀπὸ Ἰερουσαλὴμ,Երուսաղեմէ,იერუსალემით [ierusalem-it],იერუსალემ,PN-Instr,Jerusalem
104,,,,,,,
105,,,[Erusałem-ē]   ,,,,
106,,,,რომელი ,რომელ,PRON.Nom.Sg,whic
107,,,,,,,
108,1.4,τῆς ἐκ-λεγείσης ,զոր ,გამო-რჩეულ ,გამორჩეულ,N.Abs.Sg,chosen
109,,,,,,,
110,,,ընտրեալն էր [which was chosen],,,,
111,,,,იყო,ყოფა,V.Aor.S3.Sg,was
112,1.4,ἀπὸ πασῶν ,յամենայն,ყოვლისა-გან ,ყოველ,PRON.Gen.Sg-of,each
113,1.4,τῶν φυλῶν ,ազգացն ,ტომისა ,ტომ,N.Gen.Sg,tribe
114,1.4,Ἰσραὴλ,Իսրայէլի ,ისრაელისა [israel-isa],ისრაელ,PN.Gen.Sg,Israel
115,,,,,,,
116,,,[Israyēl-i],,,,
117,1.4,εἰς τὸ θυσιάζειν ,զոհե՛լ ,მსხუჱრპლისშეწირვად ,მსხუერპლისშეწირვა,N.Adv.Sg,sacrifice
118,1.4,πάσας ,յամենայն ,ყოვლისა ,ყოველ,PRON.Gen.Sg,each
119,1.4,τὰς φυλάς ,տոհմս ,ტომისა,ტომ,N.Gen.Sg,tribe
120,1.4,καὶ ,եւ  ,და ,და,CONJ,and
121,1.4,ἡγιάσθη ,սրբեցաւ  ,გან-წმიდნა ,წმედ,PV-V.S3.Sg,cleanse
122,1.4,ὁ ναὸς ,տաճարն  ,ტაძარი იგი ,ტაძარ,N.Nom.Sg,temple
123,1.4,τῆς κατασκηνώσεως ,բնակութեան ,სამკჳდრებელისა,სამკჳდრებელ,N.Gen.Sg,inheritance
124,1.4,τοῦ ὑψίστου ,Բարձրելոյն ,მაღლისა,მაღალ,N.Gen.Sg,exalted
125,1.4,καὶ ,եւ  ,და,და,CONJ,and
126,1.4,ᾠκοδομήθη ,շինեցաւ  ,აღ-აშენა,აღ-შენ,PV-V.AOR.S3.Sg,build
127,1.4,εἰς πάσας ,յամենայն  ,ყოველთა ,ყოველ,PRON.Gen.Pl,each
128,,,,მიმართ,მიმართ,PREP,towards
129,1.4,τὰς γενεὰς ,աւուրս,ნათესავთა-თჳს,ნათესავ-თჳს,N.Gen.PL-for,relative
130,1.4,τοῦ αἰῶνος,յաւիտենից,საუკუნეთასა,საუკუნე,N.Pl.Gen,century
131,,,,,,,
132,,GI,Arm,OGeo,Lemma,Gram,Eng
133,1.5,καὶ ,Եւ  ,რამეთუ ,რამეთუ,CONJ,since
134,1.5,πᾶσαι ,ամենայն  ,ყოველნი ,ყოველ,PRON.Nom.Pl,each
135,1.5,αἱ φυλαὶ ,ազգքն  ,ტომნი,ტომ,N.Nom.Pl,tribe
136,1.5,συν-απο-στᾶσαι,ապստամբք էին`  ,თანა-გან-დგეს,თანა-გან-დეგ,PV-PV-V.AOR.S3.Pl,with-rebel
137,1.5,καὶ  ,եւ  ,და,და,CONJ,and
138,1.5,ὁ οἶκος ,տունն  ,სახლი ,სახლ,N.Nom.Sg,house
139,1.5,Νεφθαλεὶμ,Նեփթաղիմայ  [Neptałim-ay],ნეფთალემისი [neptalem-isi] ,ნეფთალემ,PN.Gen.Sg,Nephtalem
140,1.5,τοῦ πατρός ,հօրնիմոյ,მამისა ,მამა,N.Gen.Sg,father
141,1.5,μου,×,ჩემისა,ჩემ,PRON.Gen.Nom,my
142,1.5,ἐθυσίαζον,×,უზორვიდეს,ზორვ,V.Aor.S3.Sg,sacrifice
143,1.5, ἐν Δάν,×,დანს [dan-s] ,დან,PN.Dat.Sg,Dan
144,1.5,,,შინა,შინა,ADV,in
145,1.5,τῷ μόσχῳ,×,ჴბოსა მას ,ჴბო,N.Dat.Sg,calf
146,,,,+ოქროსასა ,ოქრო,N.Gen.Sg,gold
147,1.5,ὃν,×,რომელი,რომელ,PRON.Nom.Sg,which
148,1.5,ἐποίησεν,×,ქმნა ,ქმენ,V.S3.Sg,make
149,1.5,Ἰεροβεὰμ,×,იორობუამ [iorobuam],იორობუამ,PN.Erg.Sg,Ioroboam
150,1.5,ὁ βασιλεὺς,×,მეფემან,მეფე,N.Erg.Sg,king
151,1.5,Ἰσραὴλ,×,ისრაელისამან [israel-isaman],ისრაელ,PN.Gen.Erg.Sg,Israel
152,1.5,,,და,და,CONJ,and
153,1.5,,,მაღალთა,მაღალთა,N.Gen.Pl,high
154,1.5,ἐπὶ,,ზედა,ზედა,ADV,over
155,1.5,πάντων,×,ყოველთა ,ყოველ,PRON.Dat.Pl,each
156,,,,,,,
157,1.5, ὀρέων,×,მთათა,მთა,N.Dat.Pl,mountain
158,1.5,τῆς Γαλιλαίας,×,გალილიასათა [galilia-jsata],გალილია,PN.Gen.Dat.Pl,Galilea
159,,,,,,,
160,,GI,Arm,OGeo,Lemma,Gram,Eng
161,1.6,καὶ ,Եւ ,ხოლო,ხოლო,CONJ,and (contrasting)
162,,ἐγὼ,ես ,მე,მე,PRON.Nom.Sg,I
163,1.6,μόνος ,միայն ,მარტო ,მარტო,ADJ.Nom.Sg,only
164,1.6,ἐπορευόμην ,երթայի ,მივიდი ,ვიდ,V.Aor.S1.Sg,go
165,1.6,πλεονάκις,բազումանգամ ,მრავალგზის ,მრავალგზის,ADV,many times
166,1.6,εἰς Ἱεροσόλυμα,յԵրուսաղէմ [y-Erusałēm],იერუსალემად [ierusalem-ad] ,იერუსალემ,PN.Adv,Jerusalem
167,1.6,ἐν ταῖς ἑορταῖς ,"՛ի տօնստարեկանաց, ",დღესასწაულთა,დღესასწაულ,N.Dat.Pl,feast
168,1.6,καθὼς ,որպէս + եւ [and],ვითარცა ,ვითარცა,CONJ,as
169,,,,წერილ,წერილ,N.Abs.Sg,written
170,1.6,γέγραπται ,գրեալ ,არს ,არს,V.Pres.S3.Sg,is
171,1.6,ἐν παντὶ,էամենայն ,ყოვლისა-თჳს ,ყოველ-თჳს,PRON.Gen-PP,all
172,1.6,τῷ Ἰσραὴλ,Իսրայէլի [Israyēl-i],ისრაელისა [israel-isa],ისრაელ,PN.Gen.Sg,Israel
173,1.6,ἐν προστάγματι ,հրամանա՛ւ,ბრძანებითა ,ბრძანება,N.Inst.Sg,order
174,1.6,αἰωνίῳ ,յաւիտենից ,საუკუნოთა,საუკუნო,N.Gen.Pl,century
175,1.6,τὰ πρωτογενήματα,×,პირველთა-ნაყოფთასა,პირველნაყოფ,N.Gen.Pl,first fruit
176,1.6,καὶ, եւ,და ,და,CONJ,and
177,1.6,τὰς δεκάτας ,զտասանորդս,ათეულთა ,ათეულ,N.Dat.Pl,tenth
178,1.6,τῶν γενημάτων ,"զարդեանց, ",ნაყოფისათა,ნაყოფ,N.Gen.Pl,fruit
179,1.6,τὰς πρωτοκουρίας ,×,პირველ-ნარისუავი ,პირველნარისუავ,N.Nom.Sg,first cut
180,1.6,τῶν προβάτων,զպատարագսն,ცხოვართა ,ცხოვარ,N.Gen.Pl,sheep
181,1.6,ἔχων, զորունէին.,მივიღე,ღ,V.Aor.S1.Sg,get
182,,,,,,,
183,,GI,Arm,OGeo,Lemma,Gram,Eng
184,1.7,καὶ ,եւ ,და ,და,CONJ,and
185,,,,,,,
186,1.7,ἐδίδουν,տայի ,მივსცი ,ც,V.Aor.S1.Sg,give
187,1.7,αὐτὰς ,զայն ,იგი,იგი,PRON.Nom.Sg,it
188,1.7,τοῖς ἱερεῦσιν ,քահանայիցն,მღდელთა ,მღდელ,N.Dat.Pl,priest
189,1.7,τοῖς υἱοῖς ,որդւոցն ,ძეთა,ძე,N.Dat.Pl,son
190,1.7,Ἀαρὼν,Ահարոնի  [Aharon-i],ჰარონისთა [haron-ista],ჰარონ,PN.Gen.Pl,Haron
191,1.7,πρὸς τὸ θυσιαστήριον ,առաջի սեղանոյն,საკურთხეველსა ,საკურთხეველ,N.Dat.Sg,alter
192,,,,,,,
193,,,,,,,
194,1.7,καὶ,×,და ,და,CONJ,and
195,1.7,πάντων ,յամենայն ,ყოველთა ,ყოველ,PRON.Dat.Pl,each
196,1.7,τῶν γενημάτων,արդեանցն + Եւ [and],ნაყოფთა ,ნაყოფ,N.Dat.Pl,fruit
197,1.7,τὴν δεκάτην,զտասանորդսն ,ათეულსა ,ათეულ,N.Dat.Sg,tithe
198,1.7,ἐδίδουν,տայի ,მი-ვსცემდ ,ც,PV-V.Aor.S1.Sg,give
199,1.7,τοῖς υἱοῖς,որդւոցն ,ძეთა ,ძე,N.Dat.Pl,son
200,1.7,Λευὶ,Ղեւեայ [Leve-ay],ლევისთა [levi-sta],ლევ,PN.Gen.Pl,Lev
201,,τοῖς ,որք,რომელნი,რომელ,PRON.Nom.Pl,which
202,,,,,,,
203,1.7,θεραπεύουσιν, պաշտօնեայքն էին ,ჰმსახურებდეს ,მსახურ,V.Aor.S3.Pl,serve
204,1.7,εἰς Ἰερουσαλήμ,յԵրուսաղեմի,იერუსალემს [ierusalem-s] ,იერუსალემ,PN.Dat.Sg,Jerusalem
205,,,,,,,
206,,,[y-Erusałem-i],,,,
207,1.7,καὶ,Եւ ,და ,და,CONJ,and
208,1.7,τὴν δευτέραν ,զերկրորդ ,მეორე ,მეორე,NUM.Nom.Sg,second
209,1.7,δεκάτην ,տասանորդսն,ათეული ,ათეულ,NUM.Nom.Sg,tithe
210,1.7,ἀπεπρατιζόμην , վաճառէի pr ժողովէի եւ [collect and],ვჰყიდი,ყიდ,V.Aor.S1.Sg,sell
211,1.7,καὶ ,եւ,და,და,CONJ,and
212,1.7,ἐπορευόμην , երթայի ,მივიდი,ვიდ,V.Aor.S1.Sg,go
213,1.7,καὶ ,եւ,და,და,CONJ,and
214,1.7,ἐδαπάνων ,ծախէի ,შე-ვამსხური,მსხურ,PV-V.Aor.S1.Sg,serve
215,1.7,ἐν Ἱεροσολύμοις,յԵրուսաղէմ  [y-Erusałēm],იერუსალემსა [ierusalem-sa] ,იერუსალემ,PN.Dat.Sg,Jerusalem
216,1.7,καθ᾽ ἕκαστον ,ըստամենայն ,თითოეულსა ,თითოეულ,PRON.Dat.Sg,each
217,1.7,ἐνιαυτόν, տարեկանի,წელიწადსა,წელიწად,N.Dat.Sg,year
218,,,,,,,
219,,GI,Arm,OGeo,Lemma,Gram,Eng
220,1.8,καὶ ,Եւ ,ხოლო ,ხოლო,CONJ,and
221,1.8,τὴν τρίτην ,զերրորդն ,მესამე ,მესამე,NUM.Nom.Sg,third
222,,,,+ათეული,ათეულ,NUM.Nom.Sg,tithe
223,1.8,ἐδίδουν,տայի՛ ,მი-ვსცი ,ც,PV-V.Aor.S1.Sg,give
224,1.8,οἷς,որոց ,ვიეთა-იგი,ვიეთა-იგი,CONJ,as
225,1.8,καθήκει,արժա՛ն էր  ,ჯერ-არნ,ჯერ-არ-ნ,V.Aor.S3.Pl,worthy-are
226,1.8,καθὼς,որպէս  ,ვითარცა-იგი,ვითარცა-იგი,CONJ,as
227,1.8,ἐνετείλατο,պատուիրեաց  ,მამცნო ,ცნ,V.Aor.O1.S3.Sg,inform
228,,,,მე,მე,PRON.Dat.Sg,I
229,1.8,Δεββώρα,Դերուրա  [Debura],დებორა [debora] ,დებორა,PN.Erg.Sg,Deborah
230,1.8,τοῦ πατρός ,հօրն,მამის ,მამა,N.Gen.Sg,father
231,1.8,ἡ μήτηρ ,մայր  ,დედამან ,დედა,N.Erg.Sg,mother
232,1.8,μου,իմոյ ,ჩემმან ,ჩემ,PRON.Erg.Sg,my
233,1.8,διότι ,զի  ,რამეთუ ,რამეთუ,CONJ,since
234,1.8,ὀρφανὸς,ո՛րբ  ,ობოლი ,ობოლ,N.Nom.Sg,orphan
235,1.8,κατελείφθην,մնացեալ էի + ես [I]  ,და-ვშთი ,შთ,PV-V.Aor.S1.Sg,leave
236,1.8,ὑπὸ τοῦ πατρός ,՛ի հօրէն,მამისა-გან ,მამა,N.Gen.Sg-of,father
237,1.8,μου,իմմէ,ჩემისა ,ჩემ,PRON.Gen.Sg,my
238,,,,,,,
239,,GI,Arm,OGeo,Lemma,Gram,Eng
240,1.9,καὶ ,Եւ  ,და ,და,CONJ,and
241,1.9,ἐγενόμην,եղէ՛  ,ვიქმენ ,ქმენ,V.Aor.S1.Sg,become
242,1.9,ἀνήρ ,այր`  ,მამაკაცად,მამაკაც,N.Adv.Sg,man
243,1.9,ἔλαβον ,առի +ես ինձ  [I my],მო-ვიყვანე ,ყვან,PV-V.Aor.S1.O3.Sg,bring
244,1.9,Ανναν ,×,ანნა [anna],ანნა,PN.Nom.Sg,Anna
245,1.9,γυναῖκα ,կին  ,ცოლად ,ცოლ,N.Adv.Sg,wife
246,1.9,ἐκ τοῦ σπέρματος ,՛իզաւակէ  ,ნათესავი ,ნათესავ,N.Nom.Sg,relative
247,1.9,τῆς πατριᾶς ,հայրենի  ,მამისა ,მამა,N.Gen.Sg,father
248,1.9,ἡμῶν ,իմոյ,ჩემისა,ჩემ,PRON.Gen.Sg,my
249,1.9,καὶ ,եւ  ,და ,და,CONJ,and
250,1.9,ἐγέννησα ,ծնայ +ես  [I],მესუა ,სუ,V.Aor.O1.S3.Sg,be born
251,1.9,ἐξ αὐτῆς ,՛ի նմանէ,მის-გან ,მის,PRON.Gen.Sg,her-from
252,1.9,Τωβιαν,զՏուբի ,ტობია [t'obia],ტობია,PN.Nom.Sg,Tobia
253,,,[z-T'ubi],,,,
254,,,,,,,
255,,GI,Arm,OGeo,Lemma,Gram,Eng
256,1.1,καὶ ,Եւ ,და ,და,CONJ,and
257,1.1,ὅτε ,յորժամ ,რაჟამს ,რაჟამს,ADV,when
258,1.1,ᾐχμαλωτίσθην ,գերի՛ վարեցայ ,წარ-ვიტყუჱნე,ტყუ,V.Aor.S1.Sg,captivate
259,1.1,εἰς Νινευή,՛ի Նինուէ [Ninuē],ნინევად [ninev-ad],ნინევ,PN.Adv.Sg,Ninev
260,1.1,πάντες ,ամենայն ,ყოველნი ,ყოველ,PRON.Nom.Sg,each
261,1.1,οἱ ἀδελφοί ,եղբարք ,ძმანი ,ძმა,N.Nom.Pl,brother
262,1.1,μου ,իմ ,ჩემნი ,ჩემ,PRON.Nom.Pl,my
263,1.1,καὶ ,եւ ,და ,და,CONJ,and
264,1.1,οἱ ἐκ τοῦ γένους ,ա՛զգ ,ნათესავისა ,ნათესავ,N.Gen.Sg,relative
265,1.1,μου,իմ ,ჩემისა-გან-ნი ,ჩემ,PRON.Gen-of-Nom.Pl,my
266,1.1,ἤσθιον ,ուտէին ,ჭამდეს ,ჭამ,V.Aor.S3.Pl,eat
267,1.1,ἐκ τῶν ἄρτων ,՛իհացէ +անտի [there],პურსა ,პურ,N.Dat.Sg,bread
268,1.1,τῶν ἐθνῶν,հեթանոսացն,წარმართთასა,წარმართ,N.Gen.Pl,pagan
269,,,,,,,
270,,,,,,,
271,,,,,,,
272,,,,,,,
273,,GI,Arm,OGeo,Lemma,Gram,Eng
274,1.11,δὲ,1եւ,ხოლო,ხოლო,CONJ,and
275,1.11,ἐγὼ, 2ես  ,მე,მე,PRON.Nom.Sg,I
276,,,,,,,
277,1.11,συνετήρησα,պահեցի՛  ,და-ვიცევ,ც,PV-V.Aor.S1.Sg,"keep, protect"
278,1.11,τὴν ψυχήν,զանձն  ,თავი,თავ,N.Nom.Sg,head
279,1.11,μου,իմ,ჩემი,ჩემ,PRON.Nom.Sg,my
280,1.11,φαγεῖν,կերայց,ჭამისა-გან ,ჭამ-გან,N.Gen.Sg-from,eating-from
281,,,,,,,
282,,GI,Arm,OGeo,Lemma,Gram,Eng
283,1.12,καθότι ,քանզի  ,რამეთუ,რამეთუ,CONJ,Since
284,,,,,,,
285,1.12,ἐμεμνήμην ,յիշէի +ես [me],მეჴსენა ,ჴსენ,V.Aor.O1.S3.Sg,remember
286,,,,+მე,მე,PRON.Dat.Sg,I
287,1.12,τοῦ θεοῦ , զԱստուած ,ღმერთი,ღმერთ,N.Nom.Sg,God
288,1.12,ἐν ὅλῃ ,յամենայն  ,ყოვლითა ,ყოველ,PRON.Inst.Sg,all
289,1.12,τῇ ψυχῇ ,անձնէ  [soul],გულითა,გულ,N.Inst.Sg,heart
290,,,,,,,
291,,,,,,,
292,,GI,Arm,OGeo,Lemma,Gram,Eng
293,1.13,καὶ ,Եւ  ,და ,და,CONJ,and
294,1.13,ἔδωκεν ,ե՛տ  ,მომცა,ც,V.Aor.O1.S3.Sg,give
295,1.13,μοι,ինձ ,მე ,მე,PRON.Dat.Sg,I
296,1.13,ὁ ὕψιστος ,Բարձրեալն  [exalted],ღმერთმან ,ღმერთ,N.Erg.Sg,God
297,1.13,χάριν ,շնորհս`  ,მადლი ,მადლ,N.Nom.Sg,grace
298,1.13,καὶ ,եւ ,და,და,CONJ,and
299,1.13,μορφὴν ,գեղեցկութիւն  ,ხატი ,ხატ,N.Nom.Sg,icon
300,,,,,,,
301,1.13,ἐνώπιον ,առաջի  ,წინაშე ,წინაშე,ADV,before
302,1.13,Ἐνεμεσσάρου,Նեմեսարայ ,ენემესერ [enemeser],ენემესერ,PN.Gen.Sg,Enemessar
303,,,[Nemesar-ay],+მეფისა ,მეფე,N.Gen.Sg,king
304,1.13,καὶ ,եւ  ,და ,და,CONJ,and
305,1.13,ἤμην ,էի,ვიყავ ,ყავ,V.Aor.S1.Sg,was
306,1.13,αὐτοῦ ,նորա  ,მისსა ,მის,PRON.Gen.Sg,him
307,1.13,ἀγοραστής,վաճառական,ვაჭარ,ვაჭარ,N.Abs.Sg,merchant
308,,,,,,,
309,,,,,,,
310,,GI,Arm,OGeo,Lemma,Gram,Eng
311,1.14,καὶ ,×,და ,და,CONJ,and
312,1.14,ἐπορευόμην ,երթայի +ես [I],მივიდოდე ,ვიდ,V.Aor.S1.Sg,go
313,1.14,εἰς τὴν Μηδίαν ,՛ի Մարս  [Mar-s],ხუჟიკეთად [xužik'e-ta-d],ხუჟიკეთ,PN.Adv.Sg,Media
314,,,,და ,და,CONJ,and
315,1.14,παρεθέμην ,եդի +ես ՛իպահեստի [I in storage],ვევედრე ,ვედრ,V.Aor.S1.O3.Sg,ask
316,1.14,Γαβαήλῳ , առ Գաբայէղայ  [Gabayēł-ay],გაბაელს [gabael-s],გაბაელ,PN.Dat.Sg,Gabael
317,1.14,τῷ ἀδελφῷ ,եղբօրն ,ძმასა ,ძმა,N.Dat.Sg,brother
318,1.14,Γαβρία,Գուրիայ  [Guri-ay],გაბრიასსა [gabria-ssa],გაბრია,PN.Gen.Sg,Gabria
