,Unnamed: 0,Grc,Arm,O,Lemma,Gram,Eng
124,5.4,ἐστιν,×,არს.,არ-ს,V.S3.Sg,be
125,5.5,καὶ ,Եւ ,და,და,CONJ,and
126,5.5,εἶπεν ,ասէ,ჰრქუა ,რქუ,V.S3.O3.Sg,tell
127,5.5,αὐτῷ ,ցնա ,მას ,იგი,PRON.Dat.Sg,he
128,,,+Տուբիա. [T'ubia],+ტობია: [t'obia],,,
129,5.5,πόθεν,×,ვინაჲ ,ვინ,PRON.Nom.Sg,who
130,5.5,εἶ ,×,"ხარ,",ყოფა,V.S2.Sg,be
131,5.5,νεανίσκε ,×,ჭაბუკო?,ჭაბუკ,N.Voc.Sg,young man
132,5.5,καὶ ,×,და,ხოლო,CONJ,and
133,5.5,,,მან,იგი,PRT.Gen.Sg,he
134,5.5,εἶπεν ,×,ჰრქუა ,რქუ,V.S3.O3.Sg,tell
135,5.5,ἐκ τῶν υἱῶν ,×,ძეთაგან ,ძე,N.Gen.Pl,son
136,5.5,Ισραηλ ,×,ისრაელისა. [Israel-isa],ისრაელ,PN.Gen,Israel
137,,,,ერისათა ,ერ,N.Gen.Pl,nation
138,,,,ერთი ,ერთ,NUM.Nom.Sg,one
139,5.5,τῶν ἀδελφῶν ,×,ძმათაგანი ,ძმა,N.Gen.Pl,brother
140,,,,,,,
141,5.5,σου ,×,შენთაჲ.,შენ,PRON.Gen.Pl,you
142,5.5,ἐλήλυθα ,×,მოსრულ ვარ,მოსრულ,N.Abs.Sg,come
143,5.5,ὧδε ,×,აქა,აქა,ADV,here
144,5.5,ἐργατεύεσθαι ,×,საქმედ ,საქმე,N.Adv.Sg,work
145,,,,მოდგინედ,და,CONJ,and
146,,,,,მოდგინება,N.Adv.Sg,appointment
147,,,,მოშაკობისა,მუშაკობა,N.Gen.Sg,working
148,5.5,εἶπεν ,×,ჰრქუა ,რქუ,V.S3.O3.Sg,tell
149,5.5,αὐτῷ ,×,მას ,იგი,PRON.Dat.Sg,he
150,,,,+ტობია [t'obia],,,
151,5.5,ἐπίστῃ ,×,იცი-ა ,ც,V.S3.O3.Sg,know
152,5.5,πορευθῆναι,գալ ,მისლვად,მისლვა,N.Nom.Sg,go
153,,,+դու ընդ իս [you with me],,,,
154,5.5,εἰς Μηδίαν, Մարաց. ,ხუჟიკეთად [xužik'-et-ad],ხუჟიკეთ,PN.Adv.Sg,Media
155,,,pr յերկիրն [land],,,,
156,5.6,καὶ ,×,და ,და,CONJ,and
157,,,,მან,იგი,PRON.Nom.Sg,he
158,5.6,εἶπεν,Ասէ  ,ჰრქუა:,რქუ,V.S3.O3.Sg,tell
159,5.6,πολλάκις,×,ფრიად ,ფრიად,ADV,very
160,5.6,ἐμπειρῶ,"2տեղեա՛կ եմ, ",ვიცი,ც,V.S1.O3.Sg,know
161,5.6,καὶ ,×,და,და,CONJ,and
162,5.6,ἐπίσταμαι ,×,მეცნიერ ვარ,მეცნიერ,N.Adv.Sg,learned
163,5.6,τὰς ὁδοὺς,1ճանապարհին  ,გზათა ,გზა,N.Gen.Pl,road
164,5.6,πάσας ,×,ყოველთა.,ყოველ,N.Gen.Pl,all
165,5.6,εἰς Μηδίαν,×,ხუჟიკეთად [xužik'- etad],ხუჟიკეთ,PN.Adv,Media
166,,,,,,,
167,5.6,ἐπορεύθην,×,სრულ ვარ ,სრულ,N.Abs.Sg,go
168,5.6,πλεονάκις ,×,მრავალგზის,მრავალგზის,ADV,many times
169,5.6,καὶ , եւ  ,და ,და,CONJ,and
170,5.6,ηὐλίσθην,1ճանաչեմ ,დავადგრი ,დგერ,V.S1.Sg,stay
171,5.6,παρὰ Γαβαηλ ,2զԳաբայէլ  [z-Gabayel],გაბალის [gabal-is] თანა O,გაბაელ,PN.Gen,Gabael
172,5.6,τὸν ἀδελφὸν ,3զեղբայրն  ,ძმისა ,ძმა,N.Gen.Sg,brother
173,5.6,ἡμῶν ,4մեր,"ჩუენისა,",ჩუენ,PRON.Gen.Sg,our
174,5.6,τῷ οἰκοῦντι,×,რომელი მყოფ არს,მყოფ,N.Abs.Sg,be
175,5.6,ἐν Ῥάγοις ,×,ჰრაგუე-ს [hrague-s],ჰრაგუე,PN.Dat,Hraguel
176,5.6,τῆς Μηδίας ,×,ხუჟიკეთისასა [xužik'-etisasa],ხუჟიკეთ,PN:Gen.Sg,Media
177,5.6,καὶ ,×,და,და,CONJ,and
178,5.6,ἀπέχει ,×,შორავს ,შორ,V.S3.O3.Sg,far
179,,,,+ეკბატანასა [ek'bat'an-asa],ეკბატან,PN.Dat,Ekbatan
180,5.6,ὁδὸν ,×,გზაჲ,გზა,N.Nom.Sg,road
181,5.6,δύο ,×,ორისა ,ორ,NUM.Gen,two
182,5.6,ἡμερῶν ,×,დღისაჲ,დღე,N.Gen.Sg,day
183,5.6,τεταγμένων ,×,განწესებული.,განწესებულ,N.Nom.Sg,appointed
184,5.6,εἰς Ῥάγα ,×,ჰრაგაჲ [hraga-j],ჰრაგა,PN.Nom.Sg,Hraga
185,5.6,κεῖνται ,×,არს ,არ-ს,V.S3.Sg,be
186,5.6,ἐν τῷ ὄρει,×,"მთასა ზედა, ",მთა,N.Dat.Sg,mountain
187,5.6,γὰρ ,×,ხოლო ,ხოლო,CONJ,and
188,5.6,ἀπὸ Ἐκβατάνων ,×,ეკბატანაჲ [ek'bat'an-aj],ეკბატანა,PN.Nom,Ekbatan
189,5.6,Ἐκβάτανα,×,ეკბატანაჲ  ,ეკბატანა,PN.Nom,Ekbatana
190,5.6,ἐν μέσῳ ,×,შორის,შორის,ADV,between
191,5.6,τῷ πεδίῳ,×,ველსა. ,ველ,N.Dat.Sg,field
192,5.7,καὶ ,Եւ ,და ,და,CONJ,and
193,5.7,εἶπεν,ասէ ,ჰრქუა,რქუ,V.S3.O3.Sg,tell
194,5.7,αὐτῷ ,ցնա ,მას ,იგი,PRON.Dat.Sg,he
195,5.7,μεῖνόν,Մնա՛ ,მგებდ ,გებ,V.S1.Sg,stay
196,,,+դու վայրիկ մի [you at one place] ,,,,
197,5.7,με ,×,მე ,მე,PRON.Dat.Sg,I
198,,,+ աստէն`,"+აქა, [here] ",აქა,ADV,here
199,5.7,νεανίσκε ,×,"ჭაბუკო,",ჭაბუკ,N.Voc.Sg,young man
200,5.7,μέχρι,մինչեւ ,ვიდრემდე,ვიდრემდე,CONJ,until
201,5.7,ὑποδείξω,հարցի՛ց + ես [I],ვაუწყო ,უწყ,V.S1.O3.Sg,let know
202,5.7,τῷ πατρί ,զհայրն,მამასა ,მამა,N.Dat.Sg,father
203,5.7,μου, իմ:,"ჩემსა, ",ჩემ,PRON.Dat.Sg,my
204,5.7,χρείαν ,×,2მიჴმს ,ჴმ,V.S1.Sg,call
205,,,,"+მე, [me]",,,
206,5.7,γὰρ ,×,1რამეთუ ,რამეთუ,CONJ,since
207,5.7,ἵνα ,×,რაჲთა ,რაჲთა,CONJ,that
208,5.7,βαδίσῃς ,×,მოხჳდე ,ვიდ,V.S2.Sg,come
209,5.7,μετ᾽ ἐμοῦ ,×,ჩემ თანა. ,მე,PRON.Dat.Sg,I
210,5.7,καὶ ,×,და ,და,CONJ,and
211,5.7,δώσω ,×,მიგცე ,ც,V.S1.O2.O3.SG,give
212,5.7,σοι ,×,შენ ,შენ,PRON.Dat.Sg,you
213,5.7,τὸν μισθόν ,×,სასყიდელი ,სასყიდელ,N.Nom.Sg,salary
214,5.7,σου,×,შენი. ,შენ,PRON.Nom.Sg,your
215,5.8,καὶ ,Եւ  ,და ,და,CONJ,and
216,5.8,εἶπεν ,ասէ  ,ჰრქუა: ,რქუ,V.S3.O3.Sg,tell
217,5.8,ἰδοὺ,×,აჰა ,აჰა,PRT,look
218,5.8,προσκαρτερῶ ,×,გელი ,ლ,V.S1.O2.Sg,wait
219,,,,"+შენ,",შენ,PR.DAT.Sg,you
220,5.8,μόνον,×,არამედ,არამედ,CONJ,but
221,5.8,μὴ ,մի՛ ,ნუ ,ნუ,PRT,not
222,5.8,χρονίσῃς,յամիցես,ჰყოვნი. ,ყოვნ,V.S2.Sg,delay
223,5.9,καὶ ,Եւ ,და ,და,CONJ,and
224,5.9,εἰσελθὼν ,եմո՛ւտ ,შევიდა ,ვიდ,V.S1.Sg,enter
225,5.9,Τωβιας,×,ტობია [t'obia],ტობია,PN.Nom,Tobia
226,,,,და,და,CONJ,and
227,5.9,εἶπεν ,պատմեաց ,უთხრა ,თხრ,V.S3.O3.Sg,tell
228,5.9,Τωβιθ,×,"ტობის, [t'obi-s]",ტობი,PN.Dat,Tobit
229,5.9,τῷ πατρί ,հօրն.,მამასა ,მამა,N.Dat.Sg,father
230,5.9,αὐτοῦ ,×,"თჳსსა,",თჳს,PRON.Gen.Sg,self
231,5.9,καὶ ,×,და ,და,CONJ,and
232,5.9,εἶπεν ,×,ჰრქუა:,რქუ,V.S3.O3.Sg,tell
233,5.9,ἰδοὺ ,Ահաւասիկ ,"აჰა ესერა, ",აჰა ესერა,PRT,behold
234,5.9,εὗρον,գտի՛ ,ვპოე,პო,V.S1.O3.Sg,find
235,5.9,ἄνθρωπον,,კაცი,კაც,N.Nom.Sg,man
236,5.9,τῶν ἀδελφῶν ,ընկեր ,  ძმათა ,ძმა,N.Dat.Pl,brother
237,5.9,ἡμῶν,×,ჩემთაგან,ჩუენ,PRON.Gen.Pl,our
238,5.9,ὃς ,որ ,რომელი,რომელ,PRON.Nom.Sg,which
239,5.9,συμπορεύσεταί,գայ ,წარვიდეს,ვიდ,V.S3.Sg,go
240,5.9,μοι ,ընդ իս: ,ჩემ თანა,მე,PRON.Dat.Sg,I
241,5.9,ὁ δὲ ,Եւ ,და ,და,CONJ,and
242,5.9,εἶπεν ,ասէ ,ჰრქუა ,რქუ,V.S3.O3.Sg,tell
243,5.9,αὐτῷ,ցնա + հայր իւր. [his father],მას,იგი,PRON.Dat.Sg,he
244,5.9,κάλεσόν,Կոչեա՛+ դու [you],მომიწოდე,წოდ,V.S2.O1.Sg,call
245,,,,,,,
246,5.9,μοι,առ իս ,მე ,მე,PRON.Dat.Sg,I
247,5.9,,×,"აქა,",აქა,ADV,here
248,5.9,ἵνα,զի ,რაჲთა ,რაჲთა,CONJ,that
249,5.9,ἐπιγνῶ ,գիտացից+ թէ [that],"უწყოდი,",წყ,V.S2.O3.Sg,know
250,5.9,ἐκ ποίας,յորմէ՞ ,რომლისა,რომელ,PRON.Gen.Sg,which
251,5.9,φυλῆς ,ազգէ ,ტომისაჲ,ტომ,N.Gen.Sg,tribe
252,5.9,ἐστιν ,"է + նա, [he]","არს,",არ-ს,V.S3.Sg,be
253,5.9,ἵνα,×,რაჲთა ,რაჲთა,CONJ,that
254,5.9,πορευθῇ,գալ ,წარვიდეს ,ვიდ,V.S3.Sg,go
255,5.9,μετὰ σοῦ,ընդ քեզ:,შენ თანა. ,შენ,PRON.Dat.Sg,you
256,5.1,καὶ ,Եւ+ նա [he],და ,და,CONJ,and
257,,,,,,,
258,5.1,ἐξῆλθεν ,×,განვიდა ,ვიდ,V.S3.Sg,go
259,5.1,Τωβιας ,×,ტობია [t'obia],ტობია,PN.Nom,Tobia
260,5.1,καὶ ,×,და ,და,CONJ,and
261,5.1,ἐκάλεσεν ,կոչեաց ,მოუწოდა,წოდ,V.S3.O3.Sg,call
262,5.1,αὐτόν,զնա + ՛ի ներքս. [inside],მას,იგი,PRON.Dat.Sg,he
263,5.1,καὶ ,×,და ,და,CONJ,and
264,5.1,εἰσῆλθεν ,×,მოვიდა ,ვიდ,V.S3.Sg,come
265,5.1,πρὸς αὐτόν,×,მისა. ,იგი,PRON.Dat.Sg,he
266,5.1,καὶ ,եւ ,და ,და,CONJ,and
267,5.1,ἐχαιρέτισεν,ողջոյն ետուն ,მოიკითხა,კითხ,V.S3.O3.Sg,greet
268,,,,cf 7.1,,,
269,5.1,αὐτὸν,միմեանց:=GI,იგი =GII,იგი,PRON.Nom.Sg,he
270,5.1,Τωβιθ ,×,ტობი [t'obi],ტობი,PN.Erg.Sg,Tobit
271,5.1,πρῶτος ,×,პირველად. ,პირველ,N.Adv.Sg,first
272,5.1,καὶ ,×,და ,და,CONJ,and
273,5.1,εἶπεν ,×,ჰრქუა ,რქუ,V.S3.O3.Sg,tell
274,,,,+ანგელოზმან მან:,ანგელოზ,N.Erg.Sg,angel
275,5.1,χαίρειν ,×,მშჳდობაჲ ,მშჳდობა,N.Nom.Sg,piece
276,5.1,σοι ,×,შენ ზედა! ,შენ,PRON.Dat.Sg,you
277,5.1,καὶ ,×,და ,და,CONJ,and
278,5.1,Τωβιθ ,×,2ტობი: [t'obi],ტობი,PN.Erg,Tobit
279,5.1,εἶπεν ,×,1თქუა,თქუ,V.S3.O3.Sg,say
280,5.1,τί ,×,რაჲ ,რა,PRON.Nom.Sg,what
281,5.1,μοι,×,2ჩემ ზედა?,მე,PRON.Dat.Sg,I
282,5.1,χαίρειν ,×,1მშჳდობაჲ ,მშჳდობა,N.Nom.Sg,piece
283,5.1,καὶ ,×,და,და,CONJ,and
284,5.1,ἐγὼ ,×,მე ,მე,PRON.Nom.Sg,I
285,5.1,ἄνθρωπος ,×,კაცი ,კაც,N.Nom.Sg,man
286,5.1,ἀδύνατος,×,უძლური pr მდაბალი ვარ და [(I) am ignoble] ,უძლურ,ADJ.Nom.Sg,powerless
287,5.1,τοῖς ὀφθαλμοῖς ,×,თუალითა,თუალ,N.Inst.Sg,eye
288,5.1,τὸ φῶς ,×,ნათელსა ,ნათელ,N.Dat.Sg,light
289,5.1,τοῦ οὐρανοῦ ,×,ცისასა ,ცა,N.Gen.Sg,sky
290,5.1,οὐ ,×,არა ,არა,PRT,not
291,5.1,βλέπω ,×,ვხედავ.,ხედ,V.S1.O3.Sg,see
292,5.1,κεῖμαι ,×,ვძე ,ძ,V.S1.Sg,stay
293,,,,მე,მე,PN.Nom.Sg,I
294,,,,და,და,CONJ,and
295,5.1,φωνὴν ,×,ჴმაჲ ,ჴმა,N.Nom.Sg,sound
296,5.1,ἀνθρώπων ,×,კაცისაჲ ,კაც,N.Gen.Sg,man
297,5.1,ἀκούω ,×,მესმის ,სმ,V.S1.O3.Sg,hear
298,5.1,καὶ,×,და ,და,CONJ,and
299,5.1,αὐτοὺς,×,იგი ,იგი,PRON.Nom.Sg,he
300,5.1,οὐ,×,ვერ ,ვერ,PRT,not
301,5.1,βλέπω,×,"ვიხილი,",ხილ,V.S1.O3.Sg,see
302,5.1,ἀλλ᾽ ,×,არამედ ,არამედ,CONJ,but
303,5.1,κεῖμαι ,×,ვძე ,ძ,V.S1.Sg,stay
304,,,,მე,მე,PN.Nom.Sg,I
305,5.1,ἐν τῷ σκότει,×,ბნელსა შინა. ,ბნელ,N.Dat.Sg,dark
306,5.1,καὶ,×,და ,და,CONJ,and
307,5.1,εἶπεν,×,ჰრქუა ,რქუ,V.S3.O3.Sg,tell
308,5.1,αὐτῷ,×,მას ,იგი,PRON.Dat.Sg,he
309,,,,+ანგელოზმან მან: ,ანგელოზ,N.Erg.Sg,angel
310,5.1,θάρσει,×,ნუ გეშინინ!,შინ,V.S2.Sg,fear
311,5.1,ἐγγὺς,×,ადვილ არს,ადვილ,N.Abs.Sg,easy
312,5.1,παρὰ τῷ θεῷ,×,უფლისაგან,უფალ,N.Gen.Sg,Lord
313,5.1,ἰάσασθαί,×,კურნება,განკურნება,N.Nom.Sg,cure
314,5.1,σε,×,"შენი, ",შენ,PRON.Nom.Sg,your
315,5.1,εἶπεν ,×,ჰრქუა ,რქუ,V.S3.O3.Sg,tell
316,5.1,αὐτῷ,×,მას ,იგი,PRON.Dat.Sg,he
317,5.1,Τωβιθ ,×,ტობი: [t'obi],ტობი,PN.Nom,Tobit
318,5.1,Τωβιας ,×,"ტობიას, [t'obia-s]",ტობია,PN.Dat,Tobia
319,5.1,ὁ υἱός ,×,ძესა ,ძე,N.Dat.Sg,son
320,5.1,μου ,×,"ჩემსა, ",ჩემ,PRON.Dat.Sg,my
321,5.1,θέλει ,×,ჰნებავს ,ნებ,V.S3.O3.Sg,want
322,5.1,πορευθῆναι ,×,წარსლვაჲ ,წარსლვა,N.Nom.Sg,go
323,5.1,εἰς Μηδίαν,×,ხუჟიკეთად [xužik'-etad] O,ხუჟიკეთ,PN.Adv,Media
324,5.1,εἰ δυνήσῃ,×,ძალგიც-ა ,ძალცემა,V.S2.Sg,can
325,5.1,αὐτῷ ,×,მის თანა,იგი,PRON.Gen.Sg,he
326,5.1,συνελθεῖν ,×,მისლვად?,მისლვა,N.Nom.Sg,go
327,5.1,καὶ,×,და,და,CONJ,and
328,5.1,δώσω,×,მიგცე ,ც,V.S1.O2.O3.Sg,give
329,5.1,τὸν μισθόν,×,სასყიდელი ,სასყიდელ,N.Nom.Sg,salary
330,5.1,σου,×,შენი. ,შენ,PRON.Nom,your
331,5.1,καὶ,×,და,და,CONJ,and
332,5.1,εἶπεν ,×,თქუა ,თქუ,V.S3.O3.Sg,say
333,5.1,δυνήσομαι ,×,"ძალ-მიც,",ძალცემა,V.S1.O3.Sg,can
334,5.1,καὶ ,×,რამეთუ ,რამეთუ,CONJ,since
335,5.1,πολλάκις ,×,მრავალგზის ,მრავალგზის,ADV,many times
336,5.1,ᾠχόμην ,×,სრულ ვარ ,სრულ,N.Adv.Sg,go
337,5.1,εἰς Μηδίαν ,×,ხუჟიკეთა ,ხუჟიკეთ,PN.Adv.Sg,Media
338,5.1,καὶ ,×,და ,და,CONJ,and
339,5.1,τὰς ὁδοὺς ,×,გზანი +მისნი [its],გზა,N.Nom.Pl,road
340,5.1,ἐπίσταμαι ,×,ვიცნი,ც,V.S1.O3.Sg,know
341,5.1,καὶ ,×,და ,და,CONJ,and
342,5.1,πάντα ,×,ყოველნი ,ყოველ,N.Nom.Pl,all
